date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,water (L)
2026-04-26,food,Half rotisserie chicken,700,70,0,0,45,,,,,,,,,,,,,,,,
2026-04-26,food,Some Thai food,500,17.9,57.1,57.1,21.4,,,,,,,,,,,,,,,,
2026-04-27,food,4 eggs and sausage,468,34,4,4,35,,,,,,,,,,,,,,,,
2026-04-27,food,1.25 lb chicken with rice and avocado,1495,129,83,83,75,,,,,,,,,,,,,,,,
2026-04-27,food,Slice pizza,285,12,34,34,10,,,,,,,,,,,,,,,,
2026-04-27,food,Slice french toast,175,5,22.5,22.5,7,,,,,,,,,,,,,,,,
2026-04-27,food,Momofuku ramen pack,325,10,62,62,4,,,,,,,,,,,,,,,,
2026-04-28,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-04-28,food,Slice pizza,285,12,34,34,10,,,,,,,,,,,,,,,,
2026-04-28,food,3 egg and sausage,390,26,3.5,3.5,31,,,,,,,,,,,,,,,,
2026-04-28,food,Momofuku ramen pack,325,10,62,62,4,,,,,,,,,,,,,,,,
2026-04-28,food,Pasta and chicken parm large portion,1005,64.5,94.5,94.5,35.3,,,,,,,,,,,,,,,,
2026-04-28,food,French toast,175,5,22.5,22.5,7,,,,,,,,,,,,,,,,
2026-04-29,food,"Breakfast of four sunny-side-up fried eggs with runny yolks, a sausage patty, and a toasted English muffin half topped with green pesto.",690,45,18,16.5,48,1.5,3,18,750,1,6,8.2,120,640,5.5,175,75,540,960,320,
2026-04-29,food,Plate of turmeric-seasoned chicken pieces with mixed brown and wild rice and cooked Brussels sprouts.,510,43,52,45.5,12.5,6.5,2.5,3.5,775,75,0.2,0.4,74,120,3.5,70,110,680,200,100,
2026-04-29,food,Sushi dinner,700,35,90,85,20,5,8,4,50,5,5,3,40,80,4,80,60,350,900,800,
2026-04-29,food,French toast,175,5,22.5,21.3,7,1.2,5,2.5,80,0,0.4,0.3,20,35,1.5,80,15,90,220,40,
2026-04-30,food,5 eggs half toast with whole avo,640,36,21.5,11,46.5,10.5,4.5,12.1,690,20,11,5,140,858,6.8,300,90,790,430,285,
2026-04-30,food,Chipotle burrito chicken,945,61,85,71,34,14,7,18,360,11,0.5,1.5,160,120,3,540,120,900,2170,250,
2026-04-30,food,Plate of turmeric-seasoned chicken pieces with mixed brown and wild rice and cooked Brussels sprouts.,510,43,52,45.5,12.5,6.5,2.5,3.5,775,75,0.2,0.4,74,120,3.5,70,110,680,200,100,
2026-04-30,food,4 beers,600,4,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-04-30,food,Tomato soup,90,3,16,14,2,2,8,1,500,10,0,0,10,10,1,20,15,400,700,0,
2026-05-01,food,Breakfast sandwich,400,20,30,27.5,18,2.5,4,7,150,0,1.5,1.2,60,200,3,200,80,220,450,150,
2026-05-01,food,Slice pizza,285,12,34,32,10,2,4,4,150,2,0.3,0.6,40,15,2.5,200,25,180,640,40,
2026-05-01,food,Half lb sausage and Momofuku noodle pack,1200,51,71,69,83,2,9,29,15,0,1,2.4,0,0,4.3,62,40,520,2820,50,
2026-05-01,food,4 beers,600,4,52,52,0,0,0,0,0,0,0,0,0,0,0.4,56,84,384,56,0,
2026-05-02,food,4 eggs half bagel and sausage,608,39,30.5,29.5,37,1,3.8,12.2,720,0,5.6,4.8,146,564,6.1,300,75,460,930,310,
2026-05-02,food,Chipotle bowl double chicken,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-02,food,Kind bar,195,6.5,16.5,12.5,14,4,7,3.3,0,0,0,0,10,15,1.2,45,60,190,80,150,
2026-05-02,food,Bowl of beef pho,500,25,60,57,15,3,4,5,150,8,0,1.5,40,60,3,80,60,450,1600,150,
2026-05-02,food,4 beers,600,4,52,52,0,0,0,0,0,0,0,0,0,0,0.4,56,84,384,56,0,
2026-05-03,food,5 eggs half bagel with avocado,620,36.5,36.5,27,37.5,9.5,5.5,11.6,688.5,6,11,5,270,710,6.6,340,110,740,585,285,
2026-05-03,food,Chipotle bowl double chicken,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-03,food,Keens steakhouse dinner,1400,70,80,74,80,6,10,30,200,10,2,6,80,40,6,200,120,900,1200,900,
2026-05-04,food,6 eggs half bagel,560,41,31,30,29,1,6,9.2,900,0,10.2,5.4,194,828,6.9,380,82,460,650,270,
2026-05-04,food,Chipotle bowl double chicken,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-04,food,Slice pizza,285,12,34,31.5,10,2.5,3.8,4,150,2,0,0.5,30,15,2.5,250,25,180,640,50,
2026-05-05,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-05-05,food,Chipotle bowl double chicken no rice,800,80,50,40,30,10,6,15,350,60,0.5,1.5,180,180,6,550,110,800,1800,220,
2026-05-05,food,Slice of margarita pizza,270,11,32,29.7,9,2.3,3.5,3.6,140,2,0,0.5,28,14,2.3,230,23,170,600,45,
2026-05-05,food,Chipotle bowl double chicken no rice,800,80,50,40,30,10,6,15,350,60,0.5,1.5,180,180,6,550,110,800,1800,220,
2026-05-05,food,Yogurt,150,8,12,12,8,0,12,5,150,2,2.5,1.4,25,40,0.1,300,30,400,120,20,
2026-05-06,food,Chipotle bowl double chicken no rice,800,80,50,40,30,10,6,15,350,60,0.5,1.5,180,180,6,550,110,800,1800,220,
2026-05-06,food,Chocolate croissant,260,5,30,28,14,2,10,8,80,0,0.2,0.2,30,20,1.5,40,20,80,220,50,
2026-05-06,food,Ham cheese sandwich,380,21,32,29.5,17,2.5,4,7,150,0,1.5,1.2,60,200,3,200,80,220,700,150,
2026-05-06,food,Salad small,80,3,10,7,4,3,5,1,250,20,0,0,60,15,1,60,20,250,150,50,
2026-05-06,food,Wine,125,0.2,4,3.7,0,0.3,1,0,0,0.5,0,0,2,2,0.6,15,10,120,7,0,
2026-05-06,food,Chicken and salmon small portions,260,38,0,0,11,0,0,3,25,0,10,12.3,34,125,1.1,18,45,520,110,1220,
2026-05-07,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-05-07,food,5 eggs half bagel,610,39,41,40,29.5,1,7,9.5,900,0,10,5.5,270,700,7,330,80,390,610,250,
2026-05-07,food,Full course protein version of eleven Madison meal,1200,60,120,100,60,20,40,25,800,60,5,4,300,300,10,400,200,2000,1800,800,
2026-05-08,food,3 eggs half toast,250,19.5,9.5,9,15.5,0.5,2.5,5.1,270,0,4.5,2.1,92,420,2.5,105,35,230,280,90,
2026-05-08,food,Chipotle bowl double chicken ,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-08,food,Starbucks snack pack with eggs,460,23,41,36,25,5,20,9,150,20,3,1.5,80,200,3,210,60,530,450,150,
2026-05-09,food,Large breakfast sandwich,520,25,45,42,25,3,6,9,250,0,2.5,2.5,80,220,4,250,60,350,900,250,
2026-05-09,food,Margarita pizza,285,12,33,30.7,10,2.3,3.5,3.6,140,2,0,0.5,28,14,2.3,230,23,170,600,45,
2026-05-09,food,Chipotle bowl double chicken no rice,800,80,50,40,30,10,6,15,350,60,0.5,1.5,180,180,6,550,110,800,1800,220,
2026-05-10,food,Breakfast sandwich,400,20,30,27.5,18,2.5,4,7,150,0,1.5,1.2,60,200,3,200,80,220,450,150,
2026-05-10,food,Chipotle bowl double chicken ,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-10,food,Chicken Schwarma,350,30,35,32,15,3,5,4,50,5,0.3,0.5,20,120,2,60,40,350,800,80,
2026-05-10,food,Bahn mi steak sandwich,520,25,50,46,20,4,7,7,150,5,0,2,70,200,3,150,60,350,900,200,
2026-05-11,food,Large sandwich,520,25,45,42,25,3,6,9,250,0,2.5,2.5,80,220,4,250,60,350,900,250,
2026-05-11,food,4 eggs sausage and half bagel,605,37,33,32,37,1,3,12,900,0,8,4.2,166,560,6.7,300,60,460,870,360,
2026-05-11,food,Slice pizza,285,12,34,31.5,10,2.5,3.8,4,150,2,0,0.5,30,15,2.5,250,25,180,640,50,
2026-05-11,food,Salmon and rice,430,29,42,41.7,15.5,0.3,0,3.6,20,0,13,6,22,112,1,18,55,465,70,2200,
2026-05-12,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-05-12,food,Chipotle bowl double chicken,1090,90,75,63,48,12,8,25,400,85,0.5,1.5,200,200,7,650,120,900,2190,250,
2026-05-12,food,Shrimp scampi,400,25,20,19,24,1,2,10,150,8,0,1.5,20,120,2.5,120,40,220,650,250,
2026-05-12,food,Arugula salad,80,3,10,7,4,3,5,1,250,20,0,0,60,15,1,60,20,250,150,50,
2026-05-12,food,2.5 eggs,210,17,1.5,1.5,14,0,1,4,225,0,3.8,1.8,75,350,2,100,30,200,210,75,
2026-05-13,food,5 eggs sausage half bagel,610,39,41,40,29.5,1,7,9.5,900,0,10,5.5,270,700,7,330,80,390,610,250,
2026-05-13,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-05-13,food,Banquet food for formal,400,17.8,35.6,29.6,20,6,12,18,400,20,2,3,200,150,6,400,120,900,1600,400,
2026-05-14,food,Egg avocado sausage bagel large,650,32,45,38,36,7,6,11,900,6,6,3.5,180,500,5,250,80,700,950,350,
2026-06-05,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,52.4,10,10,18,3,150,10,1,1.5,80,120,6,350,150,700,250,200,
2026-06-07,food,"Falafel plate with tahini over rice, mixed green salad with cucumber and red onion, pickles and pickled turnips, hummus with spices, and pieces of pita bread.",1115,33.5,123,104,53,19,7.5,6.1,2470,31,0,0,270,100,9.6,390,210,1090,1305,165,
2026-06-07,food,5 eggs toast,550,37,30,28,29,2,6,8.6,675,0,11,5,210,675,6.4,330,80,420,610,80,
2026-06-10,food,6 eggs toast,610,42,29,27,32,2,7,10,900,0,13,6,310,810,8.6,410,96,490,680,96,
2026-06-10,food,Giant sandwich,900,45,80,72,40,8,10,14,150,4,0.5,1.5,120,80,6,350,90,650,1500,150,
2026-06-10,food,Pizza personal,800,32,88,82,32,6,8,14,300,15,0.5,1.5,120,40,5,350,60,550,1500,150,
2026-06-11,food,Large sandwich,520,25,45,42,25,3,6,9,250,0,2.5,2.5,80,220,4,250,60,350,900,250,
2026-06-11,food,Burrito,520,20,55,48,20,7,4,8,250,4,0,1.5,80,120,4,250,70,650,900,250,
2026-06-11,food,Half small burrito,260,10,27.5,24,10,3.5,2,4,125,2,0,0.8,40,60,2,125,35,325,450,125,
2026-06-12,food,Lox bagel,440,21,55,53,13.5,2,7,5.9,0,4,3,105,23.1,3.3,112,65,230,1120,800,800,
2026-06-12,food,Cool sesame noodles,500,15,60,56,22,4,6,3,50,5,0,0.3,60,20,3,80,60,220,700,600,
2026-08-13,food,Overnight oats,350,15,55,55,10,,,,,,,,,,,,,,,,
2026-08-13,food,Salmon plate,600,40,40,40,28,,,,,,,,,,,,,,,,
2026-08-25,food,Toast,80,3,14,14,1,,,,,,,,,,,,,,,,
2026-08-25,food,Big breakfast,800,30,80,80,40,,,,,,,,,,,,,,,,
2026-08-29,food,"Grilled chicken bowl with white rice, black beans, avocado, pico de gallo, pickled cabbage, radishes, lime, and creamy chipotle sauce",720,27.5,83,57.5,31.5,25.5,6.5,10.8,200,35,0,0.4,52,34,3,250,130,960,580,350,
2026-08-29,food,Mexican eggs with small bread and small potato and some greens,500,27,50,46,20.3,4,2.7,5.3,400,45,2,1.5,150,300,4.1,220,53,700,315,110,
2026-08-29,food,Sesame chicken with rice and a lamb curry with potatoes,1100,47.7,91.7,81.7,51.3,10,24,24,250,14,0,2.9,100,170,6,200,130,1150,1800,600,
2026-08-29,food,Toast,80,3,14,13,1,1,2,0.5,0,0,0,0,20,5,0.7,40,8,35,130,5,
2026-08-30,food,Large sandwich,600,25,55,51,30,4,6,8,120,2,0.2,0.6,70,35,3,220,45,300,1100,120,
2026-08-30,food,Half pint ice cream,285,5,31,30,16,1,28,10,150,1,0,0.4,15,35,0.3,170,15,260,120,0,
2026-08-30,food,Half Mac and cheese,175,6,22,21,7,1,3,4,75,0,0,0.2,20,18,0.7,120,18,90,320,40,
2026-08-30,food,Half Bagel and cream cheese,240,7,29,28,11,1,4.5,5.7,90,0,0.1,0.1,48,11,1.6,35,14,75,325,60,
2026-08-30,food,Good sized dinner,700,30,65,60,35,5,7,10,150,4,0.3,0.8,90,45,3.5,250,55,450,1200,150,
2026-08-30,food,Kind bar,200,6,16,9,15,7,5,2,0,0,0,0,20,10,1.2,50,45,180,125,0,
2026-08-31,food,Toast,80,3,14,13,1,1,2,0.5,0,0,0,0,20,5,0.7,40,8,35,130,5,
2026-08-31,food,3 eggs,216,18.9,1.1,1.1,14.4,0,1.1,4.8,240,0,3.3,1.5,71,441,2.7,84,18,189,213,110,
2026-08-31,food,Coffee,2,0.3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,49,5,0,
2026-08-31,food,Large piece salmon with good portion of rice and greens and pico,655,46,63,59.7,22.8,3.3,2.6,4.6,245,21,15,4.5,68,161,2.4,80,93,1015,230,2230,
2026-08-31,food,Ito en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
2026-08-31,food,Sabra Smart Snackers. One,370,10,44.5,37.5,18,7,1,2.8,0,0,0,0,40,0,3,52,35,282,840,0,
2026-08-31,food,Chipotle burrito bowl,665,51,68,49.5,23,18.5,9,8,603,63,0,0.5,120,45,2,350,140,950,1845,300,
2026-09-01,food,Half bagel with peanut butter and banana slices,140,5,18,15.7,6.5,2.3,5.2,1.1,3,3.2,0,0,34,12,1.1,28,27,170,150,20,
2026-09-01,food,"Chicken shawarma plate with yellow rice, pita bread, salad, hummus, tzatziki, and dressing",700,33.9,82,73.5,26.2,8.5,8,8.7,157,16,0.1,0.4,130,145,5.9,157,121,930,1790,0,
2026-09-01,food,Beef wrap,600,32.3,43.8,40.8,32.3,3,2,9,40,4,0.2,2,55,75,3.5,180,45,320,850,0,
2026-09-01,food,4 beers and bar snacks,916,13.2,82,80,18,2,4,3,0,0,0,0,96,55,1.2,96,114,396,456,0,
2026-09-02,food,Very large sandwich,800,35,70,65,40,5,7,11,160,3,0.3,0.8,90,45,4,260,55,420,1400,150,
2026-09-02,food,4 eggs ramen,400,28,16,16,20,0,0,8,320,0,4.4,2,96,588,3.6,112,24,252,2988,148,
2026-09-02,food,Ice cream,170,3,19,19,9,0,17,6,90,0,0.2,0.4,5,20,0.1,110,10,150,80,0,
2026-09-03,food,"45-60g peanut butter
100gish Greek yogurt
1 banana
100gish frozen fruit
1 tbsp honey
Oat milk to fill as smoothie",800,25.3,117.3,107.2,32,10.1,60.8,6.8,32,59.6,0.9,1.2,118,65.6,1.8,337,159,1215,320,0,
2026-09-03,food,Very large sandwich,800,35,70,65,40,5,7,11,160,3,0.3,0.8,90,45,4,260,55,420,1400,150,
2026-09-03,food,4 egg,288,25.2,1.5,1.5,19.2,0,1.5,6.4,320,0,4.4,2,96,588,3.6,112,24,252,284,0,
2026-09-03,food,2 chicken breasts cup rice and bell peppers,700,83,64.4,61.3,9.5,3.1,3.6,2.1,146,95,0.2,0.6,133,228,2.6,56,89,785,154,0,
2026-09-03,food,Ice cream,170,3,19,19,9,0,17,6,90,0,0.2,0.4,5,20,0.1,110,10,150,80,0,
2026-09-04,food,Espresso,2,0.3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,49,5,0,
2026-09-04,food,"45-60g peanut butter
100gish Greek yogurt
1 banana
100gish frozen fruit
1 tbsp honey
Oat milk to fill as smoothie",800,25.3,117.3,107.2,32,10.1,60.8,6.8,32,59.6,0.9,1.2,118,65.6,1.8,337,159,1215,320,0,
2026-09-04,food,4 eggs ramen,400,28,16,16,20,0,0,8,320,0,4.4,2,96,588,3.6,112,24,252,2988,148,
2026-09-04,food,"Plate of white rice with tofu and vegetables in curry sauce, plus carrots, cucumber, and cherry tomatoes",455,19.1,62.1,55.2,13.6,6.9,8.4,3.3,560,44,0,0,140,46,4.1,264,101,895,522,210,
2026-09-04,food,Some rice and tofu,300,17,41.3,38.4,7.8,2.9,0.9,1.4,0,0,0,0,102,42,4.6,532,101,297,16,300,
2026-09-04,food,Little cheesecake,150,3.2,8.6,8.6,12.3,0,2,16,180,0,0.2,0.5,18,45,0,60,10,75,290,120,
2026-09-04,food,Mcdoanlds spicy chicken and some fries,867,31,92,86,42,6,9.3,6.3,20,4,0,0.3,75,77,3,47,63,950,1566,60,
2026-09-04,food,Modelo,143,1.1,13.6,13.6,0,0,0,0,0,0,0,0,0,0,0.1,14,21,96,10,0,
2026-09-04,food,Modelo,143,1.1,13.6,13.6,0,0,0,0,0,0,0,0,0,0,0.1,14,21,96,10,0,
2026-09-04,food,Modelo,143,1.1,13.6,13.6,0,0,0,0,0,0,0,0,0,0,0.1,14,21,96,10,0,
2026-09-04,food,Espresso martini,239,0.1,12,12,0.2,0,12,0,0,0,0,0,0,2,0.1,2,3,49,5,0,
2026-09-05,food,Breakfast burrito,500,20,45,41,27,4,3,9,180,6,0.4,0.6,70,95,3,220,40,350,900,80,
2026-09-05,food,Bunch of sushi,400,16,50,47,12,3,8,2,40,4,2,2,55,45,1.5,35,30,280,700,0,
2026-09-05,food,4 high noons,400,0,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-09-05,food,1 beer,153,1.6,12.6,12.6,0,0,0,0,0,0,0,0,21,14,0.1,14,21,96,14,0,
2026-09-05,food,2 glasses wine,250,0.2,7.6,7.6,0,0,1.6,0,0,0,0,0,2,0,0.1,18,14,254,10,0,
2026-09-05,food,McDonald’s spicy chicken and some fries,867,31,90,84,42,6,9,6.5,20,6,0,0.3,75,77,3,47,63,950,1566,0,
2026-09-06,food,Greek dinner,600,30,50,44,30,6,8,10,120,15,0.5,0.8,80,70,3,250,60,700,900,100,
2026-09-06,food,8 beers,1224,12.8,100.8,100.8,0,0,0,0,0,0,0,0.2,168,112,0.8,112,168,768,112,0,
2026-09-06,food,Large breakfast burrito,650,28,55,50,34,5,4,11,220,8,0.5,0.8,95,130,3.5,260,55,480,1200,100,
2026-09-06,food,Green juice,120,2,28,26,0,2,22,0,300,45,0,0,40,10,1,50,25,500,30,20,
2026-09-06,food,Empanada,250,8,24,22,13,2,1,4,20,2,0,0.1,35,20,2,40,18,120,300,50,
2026-09-06,food,Smash burger,630,30,41,39,37,2,8,15,200,6,0.3,1.8,70,95,4.5,220,45,420,1250,80,
2026-09-07,food,Kind bar,190,4,19,16.5,12,2.5,13,1.5,0,0,0,0,0,0,0.8,75,0,0,10,0,
2026-09-07,food,Yogurt with granola and blueberry,280,13,44,40,7,4,24,2,21,3,2,0.9,33,37,1.4,203,54,378,125,30,
2026-09-07,food,Large chicken shish kabob plate with rice and pita and hummus,940,66,111,104,22,7,1.5,4.2,16,1,0.2,0.3,74,204,4.7,85,111,770,970,220,
2026-09-07,food,"45-60g peanut butter
100gish Greek yogurt
1 banana
100gish frozen fruit
1 tbsp honey
Oat milk to fill as smoothie",800,25.3,117.3,107.2,32,10.1,60.8,6.8,32,59.6,0.9,1.2,118,65.6,1.8,337,159,1215,320,0,
2026-09-08,food,4 eggs,288,25.2,1.5,1.5,19.2,0,1.5,6.4,320,0,4.4,2,96,588,3.6,112,24,252,284,0,
2026-09-08,food,Poke bowl salmon,550,28,55,50,24,5,8,4,120,12,10,3.5,95,110,2.5,45,70,650,900,1800,
2026-09-08,food,Chicken and rice,625,60.6,56.8,56.1,13.9,0.7,0.1,2.3,13,0,0.2,0.3,12,170,1.8,31,58,560,120,80,
2026-09-08,food,4 chicken wings,344,28,0,0,25,0,0,7,0,0,0,0,0,0,2,20,30,220,280,500,
2026-09-08,food,4 eggs on two slices of bagel and slice of cheese,711,43.2,62.9,60.9,29.5,2,5.9,12.4,415,0,4.4,2.8,96,588,7.2,372,24,252,864,0,
2026-09-08,food,Fly By Jing Chili Crisp Noodles. One,370,12,56,53,19,3,2,2,0,0,0,0,0,0,3.8,90,0,180,1500,0,
2026-09-09,food,"45-60g peanut butter
100gish Greek yogurt
1 banana
100gish frozen fruit
1 tbsp honey
Oat milk to fill as smoothie",800,25.3,117.3,107.2,32,10.1,60.8,6.8,32,59.6,0.9,1.2,118,65.6,1.8,337,159,1215,320,0,
2026-09-09,food,Very large sandwich,1000,50,87.5,82.5,50,5,7,11,160,3,0.3,0.8,90,45,4,260,55,420,1400,150,
2026-09-09,food,Donut,230,2,24,23,14,1,11,8,18,0,0,0,20,0,1.1,20,5,60,210,0,
