date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,addedSugar (g),totalWater (L),water (L),value,unit
2026-09-05,food,Entire Box of white cheddar Annie’s Mac and Cheese with some broccoli,684,25.3,126.6,126.6,9.2,,,,,,,,,,,,,,,,,,,684,kcal
2026-09-05,food,"2 tbsp butter, 2 tbsp whole milk",223,1.2,1.5,1.5,24,,,,,,,,,,,,,,,,,,,223,kcal
2026-09-06,food,Miss Vickie's Sea Salt & Malt Vinegar Potato Chips. 50g,260,3,29,29,15,,,,,,,,,,,,,,,,,,,260,
2026-09-06,food,One Degree Organic Foods Classic Granola. 120g,560,12,84,84,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,560,kcal
2026-09-06,food,1 cup whole milk,149,7.7,11.7,11.7,7.9,,,,,,,,,,,,,,,,,,,149,kcal
2026-09-06,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,,,,24,kcal
2026-09-06,food,cardamom chai. 1 portion / packet,88,2.7,16.3,16.3,1.4,,,,,,,,,,,,,,,,,,,88,kcal
2026-09-06,food,2 chicken thighs roasted in olive oil,458,41,0,0,32,,,,,,,,,,,,,,,,,,,458,kcal
2026-09-06,food,1 bell pepper roasted in olive oil,71,1,7,7,4.5,,,,,,,,,,,,,,,,,,,71,
2026-09-06,food,Junior mcchicken,380,13,36,36,20,,,,,,,,,,,,,,,,,,,380,kcal
2026-09-06,food,Ice cream cone McDonald’s,200,5,23,23,5,,,,,,,,,,,,,,,,,,,200,kcal
2026-09-06,food,"Western Family Long grain white rice. 0.5 cups. You are not counting this right. Serving size is 160 cals per 1/4 cup, I am saying 1/2 cup",320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-07,food,4 eggs fried in butter,346,25.2,1.6,1.6,25,,,,,,,,,,,,,,,,,,,346,kcal
2026-09-07,food,2 slices of sourdough with butter,320,7,31,31,18,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-07,food,Kirkland Cheddar Coastal. 40g,160,10.7,0,0,13.3,,,,,,,,,,,,,,,,,,,160,
2026-09-07,food,"55g Honey Nut Cheerios, 1 cup of milk, handful of blueberries",356,12.8,62,62,7.7,,,,,,,,,,,,,,,,,,,356,kcal
2026-09-07,food,"Western Family Long grain white rice. 0.5 cups. You are not counting this right. Serving size is 160 cals per 1/4 cup, I am saying 1/2 cup",320,6,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,320,kcal
2026-09-07,food,2 chicken thighs roasted in olive oil,458,41,0,0,32,,,,,,,,,,,,,,,,,,,458,kcal
2026-09-07,food,Burger King whopper,678,31,54,54,38,,,,,,,,,,,,,,,,,,,678,kcal
2026-09-07,food,"Jack links, beef jerky stick",100,6,1,1,9,,,,,,,,,,,,,,,,,,,100,kcal
2026-09-07,food,Half bottle of wine,313,0.3,10,10,0,,,,,,,,,,,,,,,,,,,313,kcal
2026-09-07,food,21 oz Guinness,219,1.8,16.5,16.5,0,,,,,,,,,,,,,,,,,,,219,kcal
2026-09-07,food,21 oz Guinness,219,1.8,16.5,16.5,0,,,,,,,,,,,,,,,,,,,219,kcal
2026-09-08,food,"Medium Tim Hortons, coffee with cream",70,1,9,9,3.5,,,,,,,,,,,,,,,,,,,70,kcal
2026-09-08,food,"Sausage, farmers wrap, Tim Hortons",640,21,50,50,40,,,,,,,,,,,,,,,,,,,640,kcal
2026-09-08,food,Miss Vickie's Sea Salt & Malt Vinegar Potato Chips. 50g,260,3,29,29,15,,,,,,,,,,,,,,,,,,,260,
2026-09-08,food,450g ground beef and bean chili,765,58,39,39,42,,,,,,,,,,,,,,,,,,,765,kcal
2026-09-08,food,1/2 cup uncooked white long grain rice,320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-08,food,"Chipotle bowl with white rice, black beans, chicken, fajitas, pico de gallo, sour cream, cheese, lettuce",800,61.2,85.9,85.9,24.7,,,,,,,,,,,,,,,,,,,680,kcal
2026-09-08,food,Miss Vickie's Sea Salt & Malt Vinegar Potato Chips. 50g,260,3,29,29,15,,,,,,,,,,,,,,,,,,,260,
2026-09-08,food,Kirkland Signature Sour Cream. 1 tbsp,20,0.3,0.7,0.7,2,,,,,,,,,,,,,,,,,,,20,kcal
2026-09-09,food,One Degree Organic Foods Classic Granola. 120g,560,12,84,84,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,560,kcal
2026-09-09,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,,,,24,kcal
2026-09-09,food,1 cup of whole milk,149,7.7,11.7,11.7,7.9,,,,,,,,,,,,,,,,,,,149,kcal
2026-09-09,food,Miss Vickie's Jalapeño Kettle Cooked Potato Chips. 50g,260,4,29,29,15,,,,,,,,,,,,,,,,,,,260,kcal
2026-09-09,food,16 ounces of coffee with cream,70,2,3,3,5,,,,,,,,,,,,,,,,,,,70,kcal
2026-09-09,food,450g ground beef and bean chili,765,58,39,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,765,kcal
2026-09-09,food,1/2 cup uncooked white long grain rice,320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-09,food,21oz pilsner,210,2,18,18,0,,,,,,,,,,,,,,,,,,,210,kcal
2026-09-09,food,133g oceans canned tuna dry,154,33,0,0,1.3,,,,,,,,,,,,,,,,,,,154,kcal
2026-09-09,food,1 stick celery,10,0.5,2,2,0.1,,,,,,,,,,,,,,,,,,,10,kcal
2026-09-09,food,Kirkland Cheddar Coastal. 50g,200,13.3,0,0,16.7,,,,,,,,,,,,,,,,,,,200,kcal
2026-09-09,food,Compliments Natural Black Forest Ham. Five slices,75,13.8,0,0,2.5,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-09,food,1 Costco bagel,300,11,62,62,1,,,,,,,,,,,,,,,,,,,300,kcal
2026-09-09,food,1 tbsp butter,102,0.1,0,0,11.5,,,,,,,,,,,,,,,,,,,102,kcal
2026-09-10,food,Orange cardamom morning bun,420,7,55,55,18,,,,,,,,,,,,,,,,,,,420,kcal
2026-09-10,food,Coffee with cream,70,2,3,3,5,,,,,,,,,,,,,,,,,,,70,kcal
2026-09-10,food,cardamom chai. 1 portion / packet,88,2.7,16.3,16.3,1.4,,,,,,,,,,,,,,,,,,,88,kcal
2026-09-10,food,One Degree Organic Foods Classic Granola. 100g,467,10,70,70,17,,,,,,,,,,,,,,,,,,,467,kcal
2026-09-10,food,0.5 cup whole milk,75,3.9,5.9,5.9,4,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-10,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,,,,24,kcal
2026-09-10,food,450g ground beef and bean chili,765,58,39,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,765,kcal
2026-09-10,food,1/2 cup uncooked white long grain rice,320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-10,food,Kirkland Signature Sour Cream. 1 tbsp,20,0.3,0.7,0.7,2,,,,,,,,,,,,,,,,,,,20,kcal
2026-09-10,food,Kirkland Frozen strawberries. 120g,43,0.9,10.3,10.3,0,,,,,,,,,,,,,,,,,,,43,kcal
2026-09-10,food,"Kirkland Frozen strawberries. 120g, KIRKLAND Signature Greek Yogourt. 100g, Great Value Homogenous Milk. 250ml, Adam’s Peanut butter. 60g, 100g fresh banana, Naturoney Organic Honey. 1 tbsp",832,42.6,79,79,39.2,,,,,,,,,,,,,,,,,,,832,kcal
2026-09-10,food,Miss Vickie's Jalapeño Kettle Cooked Potato Chips. 50g,260,4,29,29,15,,,,,,,,,,,,,,,,,,,260,kcal
2026-09-10,food,Ichiban ramen packet,470,9,65,65,20,,,,,,,,,,,,,,,,,,,470,
2026-09-11,weight,147.6lbs,0,0,0,0,0,,,,,,,,,,,,,,,,,,,147.6,lb
2026-09-11,food,One Degree Organic Foods Classic Granola. 100g,467,10,70,70,16.7,,,,,,,,,,,,,,,,,,,467,kcal
2026-09-11,food,0.5 cup whole milk,75,3.9,5.9,5.9,4,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-11,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,,,,24,kcal
2026-09-11,food,450g ground beef and bean chili,765,58,39,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,765,kcal
2026-09-11,food,1/2 cup uncooked white long grain rice,320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-11,food,Kirkland Signature Sour Cream. 1 tbsp,20,0.3,0.7,0.7,2,,,,,,,,,,,,,,,,,,,20,kcal
2026-09-11,food,Cheese burger and french fries at restaurant,1266,44,111,111,70,,,,,,,,,,,,,,,,,,,1266,kcal
2026-09-11,food,32 oz lager,320,3,27,27,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-11,food,1 tall boy corona beer,296,2.4,27.8,27.8,0,,,,,,,,,,,,,,,,,,,296,kcal
2026-09-12,food,"Sausage, farmers wrap, Tim Hortons",640,21,50,50,40,,,,,,,,,,,,,,,,,,,640,kcal
2026-09-12,food,150g ground beef and bean chili,255,19,13,13,14,,,,,,,,,,,,,,,,,,,255,kcal
2026-09-12,food,450g ground beef and bean chili,765,58,39,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,765,kcal
2026-09-12,food,1/2 cup uncooked white long grain rice,320,6,70,70,0,,,,,,,,,,,,,,,,,,,320,kcal
2026-09-12,food,Kirkland Signature Sour Cream. 1 tbsp,20,0.3,0.7,0.7,2,,,,,,,,,,,,,,,,,,,20,kcal
2026-09-12,food,Costco everything bagel,290,11.5,59,59,1.8,,,,,,,,,,,,,,,,,,,290,kcal
2026-09-12,food,Philadelphia Cream Cheese Product. 45g,105,3,4.5,4.5,9,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-12,food,0.5 tbsp butter,51,0.1,0,0,5.8,,,,,,,,,,,,,,,,,,,51,kcal
2026-09-12,food,"75g Honey Nut Cheerios, 1 cup of milk, handful of blueberries",424,14.4,77.1,77.1,8.7,,,,,,,,,,,,,,,,,,,424,
2026-09-13,food,3 egg omelette with cheese and butter and ham,520,40,5,5,39,,,,,,,,,,,,,,,,,,,520,kcal
2026-09-13,food,2 pancakes with syrup cooked in butter,400,8,60,60,14,,,,,,,,,,,,,,,,,,,400,kcal
2026-09-13,food,Philadelphia Cream Cheese Product. 45g,105,3,4.5,4.5,9,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-13,food,Costco everything bagel,290,11.5,59,59,1.8,,,,,,,,,,,,,,,,,,,290,kcal
2026-09-13,food,0.5 tbsp butter,51,0.1,0,0,5.8,,,,,,,,,,,,,,,,,,,51,kcal
2026-09-13,food,Few pieces of red onion,10,0.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,10,kcal
2026-09-13,food,Miss Vickie's Jalapeño Kettle Cooked Potato Chips. 50g,260,4,29,29,15,,,,,,,,,,,,,,,,,,,260,kcal
2026-09-13,food,2.5 pork chops on the grill,575,60,0,0,35,,,,,,,,,,,,,,,,,,,575,kcal
2026-09-13,food,Some potatos,130,3,30,30,0,,,,,,,,,,,,,,,,,,,130,kcal
2026-09-14,weight,147.8 lbs,0,0,0,0,0,,,,,,,,,,,,,,,,,,,147.8,lb
2026-09-14,food,One Degree Organic Foods Classic Granola. 130g,607,13,91,91,22,,,,,,,,,,,,,,,,,,,607,kcal
2026-09-14,food,0.5 cup whole milk,75,3.9,5.9,5.9,4,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-14,food,1 pork chop,230,24,0,0,14,,,,,,,,,,,,,,,,,,,230,kcal
2026-09-14,food,Some potato’s not a lot,80,2,18,18,0,,,,,,,,,,,,,,,,,,,80,kcal
2026-09-14,food,3 eggs fried,216,19,1,1,14,,,,,,,,,,,,,,,,,,,216,kcal
2026-09-14,food,3 large pork breakfast sausages,315,12.9,3.9,3.9,27.6,,,,,,,,,,,,,,,,,,,315,kcal
2026-09-14,food,0.25 tbsp butter,26,0,0,0,2.9,,,,,,,,,,,,,,,,,,,26,kcal
2026-09-14,food,Entire Box of white cheddar Annie’s Mac and Cheese with some broccoli,684,25.3,126.6,126.6,9.2,,,,,,,,,,,,,,,,,,,684,kcal
2026-09-14,food,"2 tbsp butter, 2 tbsp whole milk",223,1.2,1.5,1.5,24,,,,,,,,,,,,,,,,,,,223,kcal
2026-09-14,food,3 janes Chicken nuggets,170,8,15,15,9,,,,,,,,,,,,,,,,,,,170,kcal
2026-09-15,food,One Degree Organic Foods Classic Granola. 80g,373,8,56,56,13,,,,,,,,,,,,,,,,,,,373,kcal
2026-09-15,food,0.5 cup whole milk,75,3.9,5.9,5.9,4,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-15,food,Two pieces of bread with some butter,230,6,28,28,10,,,,,,,,,,,,,,,,,,,230,kcal
2026-09-15,food,Kirkland Cheddar Coastal. 40g,160,10.7,0,0,13.3,,,,,,,,,,,,,,,,,,,160,
2026-09-15,food,Compliments Natural Black Forest Ham. Five slices,75,13.8,0,0,2.5,,,,,,,,,,,,,,,,,,,75,kcal
2026-09-15,food,365 Whole Foods Market Organic Mayonnaise. 2 tbsp,220,0,0,0,24,,,,,,,,,,,,,,,,,,,220,
2026-09-15,food,"Kirkland Frozen strawberries. 120g, KIRKLAND Signature Greek Yogourt. 100g, Great Value Homogenous Milk. 250ml, Adam’s Peanut butter. 60g, 100g fresh banana, Naturoney Organic Honey. 1 tbsp",832,42.6,79,79,39.2,,,,,,,,,,,,,,,,,,,832,kcal
2026-09-15,food,220g steak,528,46,0,0,38,,,,,,,,,,,,,,,,,,,528,kcal
2026-09-15,food,Ichiban ramen packet,470,9,65,65,20,,,,,,,,,,,,,,,,,,,470,kcal
2026-09-15,food,1/2 tbsp mayo,55,0,0,0,6,,,,,,,,,,,,,,,,,,,55,kcal
2026-09-15,food,Egg yolk,55,3,1,1,5,,,,,,,,,,,,,,,,,,,55,kcal
2026-09-16,food,72g honey nut cheerios,273,4,55,55,4,,,,,,,,,,,,,,,,,,,273,kcal
2026-09-16,food,240ml whole milk,150,7.9,11.8,11.8,8,,,,,,,,,,,,,,,,,,,150,kcal
2026-09-16,food,1 banana,105,1.3,27,27,0.4,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-16,food,Four eggs fried butter,324,25.2,1.4,1.4,23.3,,,,,,,,,,,,,,,,,,,324,kcal
2026-09-16,food,Two slices of sourdough with butter ￼,232,6,30,30,10,,,,,,,,,,,,,,,,,,,232,kcal
2026-09-16,food,￼ Two breakfast sausages,172,8,2,2,15,,,,,,,,,,,,,,,,,,,172,kcal
2026-09-16,food,Kirkland Cheddar Coastal. 50,200,13.3,0,0,16.7,,,,,,,,,,,,,,,,,,,200,kcal
2026-09-16,food,Cheese burger and french fries at restaurant,1266,44,111,111,70,,,,,,,,,,,,,,,,,,,1266,kcal
2026-09-16,weight,146.6 lbs,0,0,0,0,0,,,,,,,,,,,,,,,,,,,146.6,lb
2026-09-17,weight,148.2 lbs,0,0,0,0,0,,,,,,,,,,,,,,,,,,,148.2,lb
2026-09-17,food,piece of Costco cheese pizza,760,40,80,80,30,,,,,,,,,,,,,,,,,,,760,kcal
2026-09-17,food,cardamom chai. 1 portion / packet,88,2.7,16.3,16.3,1.4,,,,,,,,,,,,,,,,,,,88,kcal
2026-09-17,food,Pasta Lori pasta di semola di grano duo 125g with coastal cheddar and milk and butter Mac and cheese,650,23.2,79,79,17.4,,,,,,,,,,,,,,,,,,,513,kcal
2026-09-17,food,Fratelli Beretta Proscuito di parma. 4 slices,160,16,0,0,10,,,,,,,,,,,,,,,,,,,160,kcal
2026-09-17,food,Org. Tart Cherry Santa Cruz Lemonade. 1 cup,100,0,24,24,0,,,,,,,,,,,,,,,,,,,100,kcal
2026-09-17,food,"Kirkland Frozen strawberries. 120g, KIRKLAND Signature Greek Yogourt. 100g, Great Value Homogenous Milk. 250ml, Adam’s Peanut butter. 60g, 100g fresh banana, Naturoney Organic Honey. 1 tbsp",832,42.6,79,79,39.2,,,,,,,,,,,,,,,,,,,832,kcal
2026-09-17,food,370g sirloin tip steak grilled,888,77,0,0,64,,,,,,,,,,,,,,,,,,,888,kcal
2026-09-17,food,300g potato’s air fried in oil,271,6,51,51,4.5,,,,,,,,,,,,,,,,,,,271,kcal
